,Date,season,week
0,2019-11-04,2025,9
0,2019-11-07,2025,10
0,2019-11-10,2025,10
0,2019-11-11,2025,10
0,2019-11-14,2025,11
0,2019-11-17,2025,11
0,2019-11-18,2025,11
0,2019-11-21,2025,12
0,2019-11-24,2025,12
0,2019-11-25,2025,12
0,2019-11-28,2025,13
0,2019-12-01,2025,13
0,2019-12-02,2025,13
0,2019-12-05,2025,14
0,2019-12-08,2025,14
0,2019-12-09,2025,14
0,2019-12-12,2025,15
0,2019-12-15,2025,15
0,2019-12-16,2025,15
0,2019-12-21,2025,16
0,2019-12-22,2025,16
0,2019-12-23,2025,16
0,2019-12-29,2025,17
0,2020-09-10,2025,1
0,2020-09-13,2025,1
0,2020-09-14,2025,1
0,2020-09-17,2025,2
0,2020-09-20,2025,2
0,2020-09-21,2025,2
0,2020-09-24,2025,3
0,2020-09-27,2025,3
0,2020-09-28,2025,3
0,2020-10-01,2025,4
0,2020-10-04,2025,4
0,2020-10-05,2025,4
0,2020-10-08,2025,5
0,2020-10-11,2025,5
0,2020-10-12,2025,5
0,2020-10-13,2025,5
0,2020-10-18,2025,6
0,2020-10-19,2025,6
0,2020-10-22,2025,7
0,2020-10-25,2025,7
0,2020-10-26,2025,7
0,2020-10-29,2025,8
0,2020-11-01,2025,8
0,2020-11-02,2025,8
0,2020-11-05,2025,9
0,2020-11-08,2025,9
0,2020-11-09,2025,9
0,2020-11-12,2025,10
0,2020-11-15,2025,10
0,2020-11-16,2025,10
0,2020-11-19,2025,11
0,2020-11-22,2025,11
0,2020-11-23,2025,11
0,2020-11-26,2025,12
0,2020-11-29,2025,12
0,2020-11-30,2025,12
0,2020-12-02,2025,12
0,2020-12-06,2025,13
0,2020-12-07,2025,13
0,2020-12-08,2025,13
0,2020-12-10,2025,14
0,2020-12-13,2025,14
0,2020-12-14,2025,14
0,2020-12-17,2025,15
0,2020-12-19,2025,15
0,2020-12-20,2025,15
0,2020-12-21,2025,15
0,2020-12-25,2025,16
0,2020-12-26,2025,16
0,2020-12-27,2025,16
0,2020-12-28,2025,16
0,2021-01-03,2025,17
0,2021-09-09,2025,1
0,2021-09-12,2025,1
0,2021-09-13,2025,1
0,2021-09-16,2025,2
0,2021-09-19,2025,2
0,2021-09-20,2025,2
0,2021-09-23,2025,3
0,2021-09-26,2025,3
0,2021-09-27,2025,3
0,2021-09-30,2025,4
0,2021-10-03,2025,4
0,2021-10-04,2025,4
0,2021-10-07,2025,5
0,2021-10-10,2025,5
0,2021-10-11,2025,5
0,2021-10-14,2025,6
0,2021-10-17,2025,6
0,2021-10-18,2025,6
